user_name,user_location,user_description,user_verified,date,text,hashtags,source
Louis wilson,,Pro choice - doing what's right - open to different perspectives,False,2021-08-17 14:39:42,"@glenry @McGiff This is NOT the same, a travel passport is ID to let the country you are entering into know that you are a tourist, you are not a threat to their citizens, you are there to contribute to their economy. A travel passport is available to all. A Vaccine Passport is NOT",,Twitter for iPhone
ClHunt,,,False,2021-08-17 14:39:20,"@WorkBritneyJean @SouthernOver @kelly_kling @brinleyhineman You are wacked! The Klatten family built their riches off of the Natzi concentration camp labor  &amp; they have recently been awarded the Vaccine Passport contract for the UK...
the 46th richest person in the world. Daughter of Herbert and Johanna Quandt.",,Twitter Web App
Pires_01,Lionel Messi’s Trophy Room ,"Believer in Jesus Christ, Phil 4:13. Not perfect but I strive to be the best person I can.Freedom lover , truth-seeker, anti-fake news. Soccer/MMA/Boxing fan",False,2021-08-17 14:39:16,"@joe_warmington this is the RN president of Ontario. She deleted this poll because she didn’t like the result. Look at the sample size , @fordnation should know that we don’t want vaccine passport in Ontario https://t.co/zKsV6VsQiY",,Twitter for iPhone
Vintage Maria,"New York, NY",Balanced Boss Bitch™️✊🏽| MBA 🎓 •Real Estate Expert🏘 •Startup Guru🚀 •Creative Genius💡 •Health Enthusiast🏋🏽‍♀️ •Foodie🥘 •Spiritualist🧘🏾‍♀️,False,2021-08-17 14:38:22,Where’s the NYC vaccine passport protest??? I want in!,,Twitter for iPhone
SandileSN,South Africa,"Mzansian! Financial Freedom, Cryptocurrency, Contrarian, Minimalist, Self-Sufficiency, Adrenaline Junkie, Staying Young at Heart, etc.",False,2021-08-17 14:38:15,"I love this!!! Screw #VaccinePassports
https://t.co/55UXZmwS0o",['VaccinePassports'],Twitter Web App
Deputy Dawgly,,Dawgedly determined,False,2021-08-17 14:37:58,"@MThebrexitparty @photopro28 Volunteering As a Jab Lab-Rat Earns a Vaccine Pass! 
UK COVID-Vax Min. Zahawi says it doesn’t matter if Novavax trial participants have “HAD THE PLACEBO or the VACCINE”, “they’ll be considered as FULLY VACCINATED” in the UK &amp; “will have their VACCINE PASS”
https://t.co/aoHyfufj7p",,Twitter Web App
intellectual property respecter,,"Opinions barely my own, let alone anyone else’s.",False,2021-08-17 14:37:27,"@ChapGebassi Fully vaccinated and never took off the mask here, but a vaccine passport is invasive, gives more power to law enforcement (ALWAYS bad), feels disproportionate to the activities one is needed for, and may embolden right-wing talking points disproportionately to the benefits. JMO.",,Twitter Web App
1984,Where you are,They call me George ( Novelty Account For Entertainment Purposes Only ) All is a joke... like Ha Ha Funny,False,2021-08-17 14:36:57,"@AJEnglish I guess no vaccine passport , negative test, or a mask was required lol",,Twitter for iPad
Pappy,,"Affirmations, Whitenoise, Relaxing Sounds and Videos. Please subscribe YOUTUBE 👇",False,2021-08-17 14:36:40,@erinotoole Please tell me you oppose the invasive vaccine passport 🙏,,Twitter for Android
Victoria Morrison,London,,False,2021-08-17 14:36:38,"@DavidPetri15 @robmatchette @SimonCalder Hi! So they accept the NHS covid pass, BUT the 3 indian made batches of Astrazeneca (Vaxzevria) are considered to be Covishield by EMA aka they aren't approved. I'm wondering whether they will just accept the NHS covid pass which sais Vaxzevria or check batch numbers &amp; deny entry",,Twitter Web App
Frédéric D'Astous,Montérégie Qc,Sociologue / Prof. / #Stigma #SansAbri #Intersectionality #HarmReduction #Homeless #Inégalité #DroitsHumains / Tweets perso / Mention RT ≠ approbation,False,2021-08-17 14:35:01,"The vaccine passport debate reveals fundamental views about how personal data should be used, its role in reproducing inequalities, and the kind of society we want to live in.  https://t.co/UcUWuEOEQ2  via @LSEImpactBlog",,Buffer
Conservative Californian 🇺🇸🐘,"San Diego, CA",Living my best life in San Diego. I love my country 🇺🇸 Pro capitalism. Pro meritocracy. Anti cancel-culture. Anti marxism.,False,2021-08-17 14:34:54,@BrendonLeslie @RyanAFournier Except it is laughably easy to fraudulently game the vaccine passport. Kinda like voting.,,Twitter for iPhone
Andy Reno,"North West, England",Elvis tribute artist. Manchester England. Covers all of Elvis' career. For bookings email goodrockingtonite@hotmail.com or tell 07930178484,False,2021-08-17 14:34:21,"@glenry @McGiff The need for a Covid passport is pointless as the Covid jab doesn’t stop Covid transmission, stop you getting Covid nor does it reduce covid symptoms. Covid has a very high survival and full recovery rate. The passport is purely being used for control.",,Twitter for iPhone
M,,,False,2021-08-17 14:34:04,"@News_8 So wait, if I’m a good citizen and get my covid passport so I can enter these businesses, you mean I can still catch the variants? Well gee wiz, what’s the vaccine card even prove anyways then?",,Twitter for iPhone
.,,"(Freelance Photographer)Toronto Raptors Aviation Nasa Space X Animal Advocate 8 Degree Black  Belt,Graduate Military GGHG Soldier Freedom Of Speech Critic.",False,2021-08-17 14:33:28,"Stop dividing people!
 That will bankrupt all hospitality business if there is vaccine passport...Media and doctors who's fear mongering!!!",,Twitter for iPhone
philip kuefler,"Leduc, Alberta",,False,2021-08-17 14:33:25,Vaccine Passport Stupidity. https://t.co/BDc3YYHjR2,,Twitter Web App
Martha Nemec,North Carolina,Writer. Blogger. Rock star wannabe. IT nerd by day. USAF Vet. Solid GenX. #ordained #gryffindor #NeverTrump,False,2021-08-17 14:32:42,"Hey, I found my original vaccine passport! And some of those vaccines I got AGAIN when I joined the military. #freedomisnotfree https://t.co/y81ipvyaBD",,Instagram
Christine Spolar,"London, England","Writing about politics & pandemics & more. What a world. 
In: WashPost, NatGeo, Atlantic, KHNews.  Ex: FT, NYT, Bloomberg, CBS.",True,2021-08-17 14:32:16,Opinion: Macron eyes victory over #COVID19  vaccine pass protesters https://t.co/pFRXRZhTVe,['COVID19'],Twitter Web App
Communism is not a cure,,"🇨🇦 🇺🇸  Those afraid to die, never truly live.",False,2021-08-17 14:32:07,"Me just sitting back, watching patiently for when the vaccine passport system fails miserably. https://t.co/mhOjHsHVel",,Twitter for Android
Calum,"England, United Kingdom","Taking no risks in life, is the biggest risk of them all.",False,2021-08-17 14:31:49,"@BillyLarkin93 @Stee_IRL @SkySportsNews You're boring me now. Enjoy your jabs. Don't forget your booster jab every 6 months. Make sure you wear your mask, don't hug your granny, social distance, keep your vaccine passport with you, keep signing in to track and trace. Be a good little sheep now! Do as your told! https://t.co/J2tdcz2Tzn",,Twitter Web App
LMFM RADIO,Louth & Meath,The Voice of the North East | No. 1 Radio Station in #Louth & #Meath | 📻 95.5-96.5FM | 📱 LMFM App | 🖥️ https://t.co/28Tn54nf0b | #StaySafe,False,2021-08-17 14:30:49,NEWS: Local TD @ROMurchu says people are being left in the lurch because of anomalies in the vaccine passport system on the island of Ireland. https://t.co/qx9dshHcvy,,TweetDeck
iam (immi&migration),"London, E14 9FW","Worldwide network of immigration and Visas, Immigration & Citizenship advisors and lawyers in Canary Wharf, London.",False,2021-08-17 14:30:32,"Member States shall refrain from imposing additional travel restrictions on the holders of an EU Digital Covid Certificate, unless they are necessary and proportionate to safeguard public health.

Read more 👉 https://t.co/gMQH7AQrDJ

#EU #DigitalCovidCertificate #EuropeanUnion",,Missinglettr
.,,"(Freelance Photographer)Toronto Raptors Aviation Nasa Space X Animal Advocate 8 Degree Black  Belt,Graduate Military GGHG Soldier Freedom Of Speech Critic.",False,2021-08-17 14:30:14,The mayors should focus on the crime and supporting the poor and economy rather then vaccine passport stop infringing are freedom rights.,,Twitter for iPhone
Lynn,Canada,I love outdoor fun.,False,2021-08-17 14:29:37,"@katiejoweldy @AlexBerenson Oh my word, to put it mildly! How can we wake up the vaccinated to help us fight this tyranny?! They don't even realize that a mandated vaccine passport = communist social credit passport, destroying our freedom and theirs, forever!!",,Twitter Web App
Patrick Francey,"Vancouver, British Columbia, E","CEO: The Real Estate Investment Network, Husband, Father, Grandfather, guided by my values, Authentic, Loving, Entrepreneur, Courageous, Family, Friends, Fun!",False,2021-08-17 14:29:34,Ontario says businesses can use new Canada vaccine passport to enforce vaccination policies https://t.co/085csAphiM,,Twitter for iPhone
Oros Mannetjie,,"Drink your Oros Everyday!
PLEASE DON'T FOLLOW ME...I swear in most comments out of pure frustration at idiots.....so you may get offended by my comments, often.",False,2021-08-17 14:29:28,@johnellVV Probably want a Covid PASS,,Twitter Web App
Metalhed47,"Alberta, Canada","I’m one of those people who always has the music blasting! 🤘Oil&Gas supporter. Tweets with a touch of sarcasm. I enjoy astronomy,being a Dad, woodworking.",False,2021-08-17 14:29:22,"Get Woke, Go Broke https://t.co/EuHKcMHFJi",,Twitter for iPhone
OrangeVanRad,"St Louis, MO","ancestry: Brit doc killed by natives, indentured  servants, west African slave child, a native woman that survived the trail of tears, and German immigrants.",False,2021-08-17 14:29:08,CHRIS SKY gives speech at MONTREAL vaccine passport PROTEST! https://t.co/939btMQvpY via @YouTube #RESIST,['RESIST'],Twitter for iPhone
Deputy Dawgly,,Dawgedly determined,False,2021-08-17 14:28:49,"@LeeAdamWilshier @loffredojeremy @_whitneywebb Volunteering As a Jab Lab-Rat Earns a Vaccine Pass! 
UK COVID-Vax Min. Zahawi says it doesn’t matter if Novavax trial participants have “HAD THE PLACEBO or the VACCINE”, “they’ll be considered as FULLY VACCINATED” in the UK &amp; “will have their VACCINE PASS”
https://t.co/aoHyfufj7p",,Twitter Web App
Michael Jones,,,False,2021-08-17 14:28:44,"@eturleye @AZSenateGOP @votewarren @JDMesnard @RepBenToma @AZHouseGOP How does it make it harder to vote, exactly?  Also, I bet you're for some kind of vaccine passport, which would make it harder to do everything in life.",,Twitter for Android
Jean-Yves Jault,"Brussels, Belgium",Personal tweets #auto #politics #japan. #Toyota since ‘96 (NUMMI alum). PR @toyota_europe (on temp leave). @ScPoLyon @uoregon. Worked in 🇫🇷🇬🇧🇺🇸🇧🇪🇯🇵,False,2021-08-17 14:28:42,"🇮🇹 masks + gel practiced very consistently indoors and very naturally, well integrated into retail etc. Temp sidewalk terrace seating often looks permanent. Signage consistent. All staff in service well equipped. People don’t need reminders. Covid passport checked at eateries 3/",,Twitter for iPhone
Bret 🍁,"Saint John, New Brunswick","Political Correctness Ruins Everything.

Canada First! 🇨🇦",False,2021-08-17 14:27:56,"Not true, Trudeau and O'Toole's vaccine passport systems might seem extremely similar, but Trudeau's government tracking app will let you choose from 37 genders while O'Toole's will only let you choose from 4. https://t.co/5MFipZfq9c",,Twitter Web App
Brendan Smith,Outer Heaven - Nova Scotia,"o Canada we stand on guard for thee.
salmon, beer, and weed.
sex, resolve, and gratitude.
stand pose.",False,2021-08-17 14:27:49,"They need you to breath stuffy air so you start feeling one of the many symptoms - so they can coerce you into a vaccine, passport, boosters, social credit score, etc.. https://t.co/9jVOFa1YNu",,Twitter for Android
Nakuset S,"Montréal, Québec","Nakuset is the Director of the Native Women's Shelter of Mtl, co-manager of Resilience Mtl and Indigenous columnist on MaTV Citylife",False,2021-08-17 14:26:21,Vaccinations for the homeless!  Preparing for the vaccine passport.  Resilience Montréal has it’s 4th COVID clinic this morning🙏🙏🙏 https://t.co/DuYjgap4du,,Twitter for iPhone
Deputy Dawgly,,Dawgedly determined,False,2021-08-17 14:25:51,"@loffredojeremy Volunteering As a Jab Lab-Rat Earns a Vaccine Pass! 
UK COVID-Vax Min. Zahawi says it doesn’t matter if Novavax trial participants have “HAD THE PLACEBO or the VACCINE”, “they’ll be considered as FULLY VACCINATED” in the UK &amp; “will have their VACCINE PASS”
https://t.co/aoHyfufj7p",,Twitter Web App
FrenchEntrée,All over France,"The #1 magazine for buying property and living in France.
https://t.co/jZrdilif4l
https://t.co/7SqcSClMxI",False,2021-08-17 14:25:43,"This week in France: Travel rules, health pass, and a chance for American expats to speak up...  

https://t.co/ZIietXoefq

#France #travelrules #passesanitaire #vaccine #WeLoveFrance https://t.co/U3tq9AAQXA",,LaterMedia
The Post Millennial,Canada,"News, analysis, and opinion from Canada, US, and the world. Among North America’s Most-Read News Publishers.
Sign up for our newsletter: https://t.co/RlgjnHI7El",True,2021-08-17 14:25:24,"Eli Klein of @EliKleinGallery in New York says he will not be asking patrons for their vaccine credentials as Mayor de Blasio implements the ""Key to NYC Pass.""

Read more: https://t.co/vABc6LBdAO https://t.co/d7wJC8SjFy",,Twitter Media Studio
DCCAMP,"California, USA",Apette . Help end stock market trickery. $AMC,False,2021-08-17 14:24:23,@angietheplumber The vaccine passport will be the digital ID linked to our money . It will replace the credit score. Markets will crash first and we will move to crypto. see China. Have a nice day.,,Twitter for iPhone
Scott M. Stringer,"New York, NY","Official account of NYC's Comptroller. Fighting for a fairer, more affordable city. Delivering accountability in gov't. Dad to Max & Miles. Lifelong New Yorker.",True,2021-08-17 14:24:03,"Today is the day—if you want to fully enjoy the greatest city in the world—it’s time to get vaccinated.

https://t.co/m1VPE9alGF",,TweetDeck
Bogdan George,,,False,2021-08-17 14:23:19,"@Dmct99 @Humanlty1o1 Then vote CPC and receive that: 
https://t.co/Jjh8BeZDOR",,Twitter Web App
The Local Germany,"Berlin, Germany","Germany's news in English, part of @TheLocalEurope's network. Tweets by @rthejournalist and @rachloxton. Jobseeking? Check out @TheLocalJobsDE",True,2021-08-17 14:23:03,Germany is tightening its 'Covid health pass' system and will soon introduce charges for rapid tests in a bid to push people to get vaccinated. What do you think about the plans? https://t.co/1KbuVGXqPi,,dlvr.it
Em 🖤⚔️,,Future homesteader. Overland adventurer. Live free or die raised. Liberal AF. ⛰🌿🌻 #dogecoinarmy #ethereum,False,2021-08-17 14:23:01,@metz_chance @schmelty @sailorrooscout @Kyr0Nagib Vaccines have long been required. You’ve had a vaccine passport your whole life to go through school. It was called your immunization record.,,Twitter for iPhone
jade🌸,"Poole, Dorset",BHC🖤,False,2021-08-17 14:21:06,"@TheO2 would a small shoulder bag be allowed into the indigo venue? i have no clear bag and need to bring my phone, card holder and covid pass?",,Twitter for iPhone
Public Protection - Kent,"South East, England, Kent",KCC Public Protection works to maintain safe and protected communities in #Kent. Posts about #Scams #DoorstepCriminals #Recalls #ConnectedCommunities.,True,2021-08-17 14:21:01,"#ScamAlert ⚠️ Residents in #Kent targeted by NHS #COVID Pass scams. Messages asking for payment to get a COVID pass. Do NOT give any personal information or bank details. You can get your COVID Pass for FREE on the NHS App, online at https://t.co/ep5b4YVXU8 or by calling NHS 119 https://t.co/Ae9GgEKzjA","['ScamAlert', 'Kent', 'COVID']",ContentCal Studio
LoBoJangles,Sun Devil Country,Friends Call Me LC Key contributor to the “Run the Damn Ball” “Use The Freaking Tight End” and #SaveTailgaiting@ArizonaState Campaigns,False,2021-08-17 14:20:56,"“through CLEAR’s free mobile app and Health Pass feature.”  Something that we don't, won't have in Arizona.   So...hard to imagine it happening here.",,Twitter Web App
MarketNote,,Investment and Bank consultant.,False,2021-08-17 14:20:23,"News reports today say Raiders football team will require you to be vaxed to enter their stadium….

So… serious question… is all this push for a “vaccine passport” gonna eventually lead to a microchip in my butt?

@lizpeek",,Twitter for iPhone
Jim Higham,"Canterbury, Kent, UK","Photographer. Love wildlife. Worked in IT, University of Kent 1978-2019, ending as IT Service Desk Manager for many years. More on flickr, see link below.",False,2021-08-17 14:19:57,"@nuffield_girl @georgiebingham @Otto_English @Twitter @metpoliceuk An actual vaccine passport looks nothing like these. These are just the NHS record card you need when you go back for the second jab. You have to apply for the vaccine passport separately. One for UK, one for travel abroad. He’s ignorant of this apparently.",,Twitter for iPad
Cme Onhere,,,False,2021-08-17 14:19:20,@liberal_party We don't want to be forced to get a vaccine or need a vaccine passport #justsayno #NoVaccinePassportAnywhere,"['justsayno', 'NoVaccinePassportAnywhere']",Twitter Web App
jamie 🌙,ireland,"he/him? • artist • drag race, stevie nicks, wanda maximoff mainly • #TeamKylie #TeamRajah",False,2021-08-17 14:18:56,this stupid fucking covid passport is so stressful for no fucking reason why are we even going away in the middle of a pandemic this is so fucking stupid,,Twitter for iPhone
Henk,South Africa,"Ons vir jou Afrikanerland,  flccc: https://t.co/KPGkdWMqPC",False,2021-08-17 14:18:47,"“Test for long-term immunity. And anyone that has immunity can throw their mask away and go back into society..But no, we want to make a vaccine passport. These tests have been developed; T and B cell testing They sit with the FDA and they refuse to acknowledge or authorise it”",,Twitter for iPad
Kate H.,"Cambridge, England","PTS Rt leg: 37-day delay access Wells Criteria/d-dimer/LMWH after presenting to A&E 26/8/2012 discharged w/o test. +GP 5,17,20,21 Sep 2012. Bupa u/s DVT 1/10/12",False,2021-08-17 14:18:36,"Small positives: Look at this! We can apply for covid-vaccinated-status letter so that even if wifi is down, we might be able to travel after flu vaccine + booster.. to EU. (Missing EU already.. I grew up entirely able to travel to France etc, easily.. ): https://t.co/7iVkruKcaL",,Twitter Web App
Lofti Pixels,,Video Editor @thequartering / Memesmith / Cinephile / Gamer / pfp art by @Kuvshinov_Ilya / I’m on YT: https://t.co/7PODIYwaQQ,False,2021-08-17 14:18:29,My dog ate my vaccine passport you can let me in I’m fine https://t.co/rjh3HKVviL,,Twitter for iPhone
Deputy Dawgly,,Dawgedly determined,False,2021-08-17 14:17:20,"@Alpha_Mind7 Volunteering As a Jab Lab-Rat Earns a Vaccine Pass! 
UK COVID-Vax Min. Zahawi says it doesn’t matter if Novavax trial participants have “HAD THE PLACEBO or the VACCINE”, “they’ll be considered as FULLY VACCINATED” in the UK &amp; “will have their VACCINE PASS”
https://t.co/aoHyfufj7p",,Twitter Web App
Tink,"Irwin, PA",,False,2021-08-17 14:17:12,"🎦 VIDEO OF THE DAY 🌟

🇫🇷🤝🇮🇹 FRANCE &amp; ITALY TOGETHER

🇬🇧 In Nice (France) Italians and french citizens walked together against the vaccine passport / green pass. Their sign : ""France &amp; Italy : two hearts for one Liberty"" https://t.co/oOb2RwyzX8",,Twitter for iPhone
Katie Cox WRTV,"Indianapolis, IN","Emmy-nominated, journalist, EP @WRTV. @universityofky Alum. Go CATS! Previously @WKYT. Michigan girl living in Indy and loving every minute of it! 💙💙",True,2021-08-17 14:17:11,"The Las Vegas Raiders will require all attendees at home games to show proof of COVID-19 vaccination through CLEAR’s free mobile app and Health Pass feature, allowing fans to attend games without wearing a mask. https://t.co/qy0LUODbZO",,SocialNewsDesk
Mercy Quintero,,"Authentic #ProudDeplorable #MAGA 🇺🇸
Donald Trump is mi Presidente favorito 
Y mi gato favorito is @catturd2 🦈😻🙏😍",False,2021-08-17 14:17:09,"🎦 VIDEO OF THE DAY 🌟

🇫🇷🤝🇮🇹 FRANCE &amp; ITALY TOGETHER

🇬🇧 In Nice (France) Italians and french citizens walked together against the vaccine passport / green pass. Their sign : ""France &amp; Italy : two hearts for one Liberty"" https://t.co/qpmEcJxDVX",,Twitter Web App
#45 🇺🇸💅🥃,Close to the Open Border (NM),I Block all liberal bots - #MAGA #TRUMP2020 I’m on GAB: NMgirlOnFire. hope to see you there!,False,2021-08-17 14:16:58,"I’m glad I went to Vegas last week. The entire world can now ask for a vaccine passport and it won’t effect me whatsoever. I learned last year that I’m good with not going to entertainment venues, and restaurants. Good luck to all those businesses pushing for vaccine passports.",,Twitter for iPhone
Henk,South Africa,"Ons vir jou Afrikanerland,  flccc: https://t.co/KPGkdWMqPC",False,2021-08-17 14:16:40,"“You want to bring out a vaccine passport, but you refuse to acknowledge natural immunity Now, there are two ways to that immunity; through natural infection or through vaccine-induced immunity
So why don’t you bring out a test to test for immunity? Make it an immunity passport.”",,Twitter for iPad
Scanova,UK,"In the game of Fact v. Opinion, facts win every time. The Truth never dies, but it often lives a miserable life.",False,2021-08-17 14:16:31,Actuality of French new laws- https://t.co/gx5rpNNHPl,,Twitter for Android
POLITICOEurope,Brussels,"Politics. Policy. Power.

Follow the team here: https://t.co/jHvehThFSp",True,2021-08-17 14:16:22,"In France, protests against the “health pass” are still ongoing, but the protesters don't agree on everything.
 https://t.co/SVCmD0Sq2B",,Echobox
Paul Brassey,,"Musical theatre music director, keyboardist, Harvard Divinity School Th.D.",False,2021-08-17 14:16:03,"“Vac­cine man­dates for in-per­son in­ter­ac­tions… should make ex­cep­tions for the pre­vi­ously in­fected, who thanks to nat­ural mu­cosal im­mu­nity are likely at less risk than never-in­fected vac­ci­nated peo­ple of spread­ing the virus to oth­ers.” https://t.co/LijBsfLVvj",,Twitter for iPad
J O E • M A Z,,,True,2021-08-17 14:15:59,Surprise! Your “ticket to freedom” is now only good for 8 months. Your vaccine passport will turn from green to red and shut down your ability to live life until you do whatever the government says. https://t.co/dGcNzmoIPD,,Twitter for iPhone
Nick van der Graaf 🎥,"Toronto, Canada🇨🇦 ","Former journo, current film student. My parents survived fascism. Hope I do too!",False,2021-08-17 14:15:50,"@MaximeBernier @randyhillier @HannahThibedeau If you’ve ever travelled to Africa,Asia, or Australia, then I’m afraid you already have a “vaccine passport.” How have you managed to live under such tyranny? Oh the humanity!😭",,Twitter for iPhone
Cecile L Phan,,,False,2021-08-17 14:14:38,@jvipondmd Pushing for vaccine passport for indoor facilities/events would be better than shut down indoor dining &amp; large gathering. Not fair to biz owners &amp; vax’ed ppl to suffer the consequences of those deliberately chosen not to be vax’ed,,Twitter for iPhone
Jim Higham,"Canterbury, Kent, UK","Photographer. Love wildlife. Worked in IT, University of Kent 1978-2019, ending as IT Service Desk Manager for many years. More on flickr, see link below.",False,2021-08-17 14:14:26,@DeborahParr @Otto_English Especially one that’s not actually anything like the vaccine passport,,Twitter for iPad
J,"Pennsylvania, USA",,False,2021-08-17 14:14:25,"@holysmoke To be fair, some WERE talking about them:

https://t.co/fVQ2wIsEcs

https://t.co/b6I5Etiidx",,Twitter Web App
something something,,editor in cheif new york times,False,2021-08-17 14:14:18,"In New York last night, @RegalMovies  turned me away for not having a vaccine passport. They said they were implementing their rules a day early. This is all really happening. https://t.co/eUqr6KgprL",,Twitter for iPhone
Max Ryan,"Dublin, Ireland","Man, 26.",False,2021-08-17 14:14:06,They should make a special vaccine passport for him and call it a ‘Sissy Pass’. Maybe then he’ll be happy to get the jab. https://t.co/x6SxAE8lhK,,Twitter for iPhone
Violante Naxos,,,False,2021-08-17 14:12:32,They said it..vaccination to herd immunity is impossible.  https://t.co/tvqjNk1x6a,,Twitter for iPhone
Doug Mohney,DC area,"Independent voice on tech: telecom/broadband, data centers, gadgets, and (aero)space. Dubbed ""LC-2 question guy."" #satellite #broadband #iot - https://t.co/G3mpK87KDd",False,2021-08-17 14:12:25,This will be interesting. Vaccine passport seems to be the obvious note here.,,Twitter for Android
Crowdedhazybar,Chedshed,I am great.,False,2021-08-17 14:11:56,"@gary4463150386 @boocles42 Bill gates vaccine pass, Dr fauci booster jab, Tony Blair criminal, Joe Di maggio under 18 scandal Vax, crisis actors Wuhan bat, clot shot, coercion, freedom trying to get took away, you can't go on holiday. We didn't get the vaccine tho they tried to bribe us!  Billy Joel!!",,Twitter for Android
🚫🚫🗳️David🗳️🚫🚫,Peterborough ontario canada,"Forex, Technology, Photography and Social Media define my online life.",False,2021-08-17 14:11:22,I won't be going to any business in #Canada that you have to present a vaccine passport.  I won't be voting for anyone that supports vaccine passports.,['Canada'],TweetDeck
California Leaving,,Some beach somewhere,False,2021-08-17 14:10:19,"@disclosetv Are we tired enough to vote out the Totalitarian governors and mayors?  This isn’t even about which political party is in power, this is about which one will take away your freedom?  Next up is all stores, people won’t be able to buy food without the vaccine passport.",,Twitter for iPhone
libby emmons,New York City,"eic @tpostmillennial libby@thepm.news, writer @fdrlst @nypost @quillette, thoughtfully bitchy",False,2021-08-17 14:07:59,"This is authoritarianism. This is what it looks like.

Photo ID and vaccine passport required by Mayor de Blasio's to move freely in New York City

https://t.co/CpsS40Wi5z",,Twitter Web App
Terina,"London, England",#Brexit #Borisismasterofbrexit  🇬🇧🇬🇧96.5%   why/what,False,2021-08-17 14:07:09,@RealSTTMLive How does she get away with these lies?? What proof has she got that covid pass on by just walking pass someone🙄,,Twitter for Android
Curiouscrusader,,In search of truth and seeker of justice,False,2021-08-17 14:06:47,Why the @NYrestaurantPAC  would not seek an injunction against the unconstitutional vaccine passport mandates is beyond me!,,Twitter for iPhone
Chris Sky,,https://t.co/5hxFpahevI  Human rights advocate. World class speaker.  Author. Business professional.,False,2021-08-17 14:05:42,"@3v3r6 @123prometheus How do you twist him saying ""I will lock old people down""  ""I accept the vaccine passport"" ""I most certainly will get the vaccine""  lol you think people won't watch because you tell them I'm crazy?

And hundreds of millions support me. Not bernier

https://t.co/AVJHfkSEN7",,Twitter Web App
Ana Baptista,Toronto,,False,2021-08-17 14:04:50,@BonnieCrombie No vaccine passport!!!! People have rights !!! How dare !!! 😡😡 #VaccinePassports,['VaccinePassports'],Twitter for iPhone
Grand Dan,,Just trying to forge ahead and figure things out.,False,2021-08-17 14:04:03,"@TuckerCarlson @OutnumberedFNC So, 30% vaccination rate for POC, means vaccine passport requirements are discriminatory and disproportionately affects POC.",,Twitter Web App
et tu,,,False,2021-08-17 14:04:03,"Same here in Canada….

Guess who doesn't need a Covid passport or identification to enter Italy? https://t.co/KLoocYuYyM",,Twitter Web App
"💛Cari Thank you, Georgia!💛","Lincoln, NE",she/her Here for authentic dialogue and info. Digging through weaponized false info to find the truth. Appreciate people with integrity and humor.,False,2021-08-17 14:04:02,@Fly_Sistah @KevinMKruse Just as Laura Ingraham was vaccinated while she and FOX discouraged others to be vaccinated.  https://t.co/2tlAFdnYOY,,Twitter for iPhone
Mike. Just Mike,Northern Indiana,"Novice Curmudgeon. Liberal Christian. I drink beer & know things. Cleveland & #Buckeye at a DNA level, living in hostile (Domer)land. #F1 #Indycar",False,2021-08-17 14:03:53,@UniWatch Technically....the Clear Health Pass app.,,Twitter Web App
Deputy Dawgly,,Dawgedly determined,False,2021-08-17 14:02:12,"@EscanorSucks Volunteering As a Jab Lab-Rat Earns a Vaccine Pass!
UK COVID-Vax Min. Zahawi says it doesn’t matter if Novavax trial participants have “HAD THE PLACEBO or the VACCINE”, “they’ll be considered as FULLY VACCINATED” in the UK &amp; “will have their VACCINE PASS”
https://t.co/aoHyfufj7p",,Twitter Web App
2222 minutes,,,False,2021-08-17 14:01:47,No vaccine passport needed to eat in Kabul. Maybe no need to escape to the west? https://t.co/FEGwd8kTdr,,Twitter for iPhone
REAL NEWS,Oceania 💙,"Trustworthy news with commentary, analysis, opinion polls and a variety of interesting quotes.",False,2021-08-17 14:01:15,DIABOLICAL INTENTIONS: A Sinister Globalist Agenda Is Clearly Being Implemented With Emmanuel Macron’s France Being Europe’s Test Case For Vaccine Passports. Journalist Neil Clark Has This Outstanding Assessment - https://t.co/0hGdD0jqap @NeilClark66 https://t.co/sCFoLhkBZR,,Twitter for iPad
spectre,The moon,operation dark winter,False,2021-08-17 14:01:04,"@BryanPassifiume @SheilaGunnReid Oh yeah but don’t forget to take your vaccine or they’re going to cut you out of society, they’re just shoving this in your face to distract you, you’re being distracted by our governments ultimate failure at the same time they are trying to implement a vaccine passport system",,Twitter for iPhone
Liubys,,,False,2021-08-17 14:01:01,@MaxPogFrog @Sportico Unfortunately people sell their souls for money. Whoever doesn't see past this diabolical plan is blind. Create the virus pump the virus stick you with experimental vax 2 shots and a booster. 🤯 obligated with a vaccine passport. The flu disappeared .everything is covid. WTFU,,Twitter for Android
Inv3stinYours3lf,"Las Vegas, NV","“As digital money becomes more widespread, effects will ripple around the world”

~All for Reason~

inv3stinyours3lf.crypto",False,2021-08-17 14:00:34,@WillyWonkaXRP Vaccine is all a coverup but what they want is for you to carry a Digital Vaccine Passport to begin the digital life,,Twitter for Android
ESTO,"Los Angeles, 2021","The definitive event of the year for DMOs! ESTO is an action-packed, high-profile conference for destination-marketing professionals. #esto21",False,2021-08-17 14:00:24,Don’t forget! #esto21 has partnered with CLEAR Health Pass to provide easy proof of COVID-19-related health insights. We strongly recommend you complete the screening survey before today’s events. https://t.co/Hb0TIHt94E,['esto21'],Falcon Social Media Management 
